ngram,count
"['IF', 'zl']",1
"['THEN', 'su']",1
"['PRINT', '""such den zettel""']",1
"['GOTO', '15015']",1
"['GOTO', '15020']",1
"['GOTO', '14430']",1
"['RND', 'INT']",3
"['PRINT', '""such das kreuz""']",1
"['GOSUB', '20100']",1
"['THEN', '46400']",1
"['GOTO', '14450']",1
"['PRINT', '""du hast dracula""']",1
"['PRINT', '""verjagt""']",2
"['THEN', 'IF']",23
"['IF', 'da']",4
"['THEN', '14440']",1
"['PRINT', '""du musst was trinken""']",2
"['PRINT', '""du musst was essen""']",1
"['IF', '=>']",2
"['THEN', '46000']",1
"['IF', 'ad']",2
"['THEN', 'sq']",1
"['IF', 'sq']",2
"['THEN', ':']",10
"['THEN', 'hh']",1
"['GOTO', '15100']",2
"['THEN', 'ee']",1
"['GOTO', '15030']",1
"['PRINT', '""such den schlues-""']",1
"['PRINT', '""sel jetzt""']",1
"['TO', '80']",4
"['FOR', 'qq']",4
"['TO', '200']",13
"['STEP', '20']",1
"['POKE', 'qq']",1
"['POKE', '36877']",23
"['POKE', 'i']",27
"['PRINT', '""                    ""']",1
"['GOSUB', '12000']",1
"['IF', 'li']",4
"['PRINT', '""{home}{black}""']",2
"['GOSUB', '20400']",5
"['PRINT', '""{down}{down}dracula hat dich      {down}gebissen""']",1
"['PRINT', '""{clr}{down}{down}{down}du hast gewonnen      {down}du hast jane befreit""']",1
"['END', ':']",8
"['PRINT', '""{clr}{down}{down}{down}du hast verloren      {down}{down}{down}du bist verdurstet""']",1
"['PRINT', '""{clr}{down}{down}{down}du hast verloren      {down}{down}{down}du bist vor muedigkeit""']",1
"['PRINT', '""{down}tod umgefallen""']",1
"['PRINT', '""{clr}{down}{down}du hast verloren""']",1
"['PRINT', '""{down}{down}der gehilfe draculas  {down}hat dich getoetet""']",1
"['IF', 'PEEK']",75
"['THEN', 'POKE']",57
"['POKE', '0']",11
"['IF', 'ti']",1
"['THEN', 'ti$']",1
"['GOTO', '47005']",1
"['PRINT', '""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""']",1
"['PRINT', '""                     ""']",1
"['NEXT', 'j']",8
"['TO', '128']",4
"['GET', 'a$']",34
"['NEXT', 'qq']",3
"['TO', '10']",9
"['TO', '5']",13
"['TO', '240']",11
"['TO', '30']",2
"['PRINT', '""interesse""']",1
"['PRINT', 'RETURN']",1
"['PRINT', '""sen""']",2
"['RETURN', '1']",2
"['GOTO', '4900']",1
"['TO', '24']",1
"['PRINT', '""in""']",1
"['PRINT', '""{home}{red}es ist""']",1
"['GOTO', '21105']",1
"['INPUT', '""{left}{left}""']",1
"['PRINT', '""{rvs_on}{home}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}H ""']",1
"['PRINT', '""{rvs_on}{home}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}H ""']",1
"['PRINT', '""{rvs_on}{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}H{CBM-K}""']",1
"['PRINT', '""{rvs_on}{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{CBM-U}""']",1
"['PRINT', '""moeglich""']",1
"['PRINT', '""zugeschlossen""']",1
"['PRINT', '""{home}{red}""']",1
"['GOSUB', '40000']",5
"['IF', 'lg']",7
"['THEN', 'ON']",16
"['ON', 'yy']",15
"['GOSUB', '41000']",3
"['MID$', '<>']",2
"['THEN', '7030']",1
"['IF', 'h']",10
"['THEN', 'FOR']",14
"['GOTO', '7030']",2
"['GOSUB', '40200']",6
"['GOTO', '10000']",2
"['GOSUB', '49000']",15
"['PRINT', '""dachboden""']",1
"['GOSUB', '21100']",4
"['IF', 'gi']",2
"['PRINT', '""{rvs_on}{red}{home}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-Q}""']",1
"['GOSUB', '40700']",9
"['THEN', 'da']",2
"['THEN', 'me']",1
"['GOTO', '8100']",2
"['PRINT', '""{clr}{down}{down}{down}{red}du bist im garten     {down}du kannst nur durch   {down}die eingangstuer ""']",1
"['PRINT', '""{down}wieder ins            {down}spukschloss""']",1
"['TO', '4000']",2
"['PRINT', '""{clr}{down}{down}{red}du bist auf dem       {down}flur                  {down}du kannst nach""']",1
"['THEN', '8157']",1
"['IF', 'ph']",1
"['GOSUB', '21040']",2
"['GOSUB', '4']",3
"['THEN', 'b1']",2
"['MID$', 'AND']",7
"['LEFT$', '1']",1
"['ON', 'THEN']",3
"['THEN', '""geh loch""']",1
"['GOTO', ',']",3
"['LEFT$', 'IF']",2
"['THEN', '""bild""']",1
"['LEFT$', '=']",4
"['LEFT$', 'h']",1
"['THEN', '""wand""']",1
"['IF', 'THEN']",20
"['GOTO', '6100']",2
"['THEN', 'sz']",1
"['GOSUB', '14000']",5
"['GOTO', '6000']",2
"['GOTO', '8000']",2
"['PRINT', '""{clr}{down}{down}{red}der weg verzweigt""']",1
"['PRINT', '""{down}du kannst nach        {down}osten  (o)            {down}westen (w)""']",1
"['PRINT', '""{down}sueden (s)""']",1
"['THEN', 'yy']",4
"['THEN', '""oeffne tuer""']",4
"['GOSUB', 'NEXT']",1
"['RND', 'GOSUB']",1
"['GOSUB', '(']",1
"['THEN', '14300']",1
"['IF', 'AND']",1
"['THEN', '14255']",1
"['GOTO', '14260']",2
"['THEN', 'gj']",1
"['PRINT', '""such das messer""']",1
"['THEN', 'op']",2
"['IF', 'IF']",21
