ngram,count
"['w', 'w', '(']",1
"['=', 'ms', ':']",2
"['+', 'll', '+']",2
"['+', 'tl', '=']",1
"['THEN', 'h', '<']",1
"['<', 'c', 'IF']",2
"['=', 'cb', ':']",2
"['=', 'c', 'FOR']",5
"[':', 'dd', 'TO']",1
"['TO', 'dc', '=']",1
"['=', 'b', 'FOR']",6
"['+', 'sm', '=']",3
"['=', 'dd', ':']",2
"[',', 'vp', '+']",9
"['+', 'p3', 'POKE']",1
"[':', 'co', ',']",4
"['vp', 'p2', 'POKE']",1
"['+', 'p1', 'POKE']",1
"['+', 'ms', '=']",1
"['=', 'a', ':']",16
"[':', 'l', '+']",2
"['+', 'dd', '=']",1
"['+', 'dc', '=']",2
"['=', 'dc', ':']",4
"['=', 'cb', 'IF']",2
"['THEN', 'p', '=']",7
"['=', 'b', 'IF']",3
"['-', 'p2', '=']",1
"[':', 'bb', '+']",1
"['+', 'p2', '=']",1
"[':', 'aa', '+']",1
"[',', 'p3', 'POKE']",1
"[':', 'w3', ',']",2
"[',', 'p2', 'POKE']",1
"['POKE', 'w3', ',']",1
"[',', 'p1', 'POKE']",1
"['>', 'dc', 'IF']",1
"['=', 'cm', ':']",2
"[')', 'p', '(']",16
"['THEN', 'em', '>']",2
"['>', 'm', 'OR']",1
"['OR', 'sm', '<']",1
"[')', 'a', '(']",15
"['(', 'm', '+']",3
"['+', 'p', 'm']",1
"[':', 'bl', '=']",3
"[':', 'tl', '=']",2
"['=', 'rm', 'THEN']",1
"[':', 'm', '(']",12
"['=', 'p', 'THEN']",15
"['+', 'p', '=']",8
"[':', 'br', '=']",3
"['(', 'w', '/']",2
"['(', 'm', 'AND']",2
"['AND', 'g', '=']",1
"['=', 'me', '(']",2
"['=', 'c', ':']",21
"[':', 'm', '=']",12
"[',', 'm', 'POKE']",9
"[':', 'od', '/']",1
"['/', 'cm', '=']",1
"[':', 'cp', ',']",1
"[',', 'p', 'POKE']",16
"['OR', 'cm', '=']",1
"['=', 'cp', '(']",1
"[':', 'sm', '-']",1
"['=', 'cp', 'AND']",1
"['>', 'c', 'IF']",1
"[')', 'l', '/']",1
"['*', 'l', '-']",1
"['-', 'tm', '=']",1
"['>', 'c', 'AND']",1
"[')', 'ec', '(']",1
"['=', 'ce', ':']",1
"[':', 'p', '=']",20
"['=', 'np', ':']",2
"['=', 'x', 'FOR']",16
"[':', 'ce', ',']",1
"[',', 'ec', 'POKE']",1
"[')', 'h', '*']",2
"['=', 'mc', ':']",1
"[')', 'l', '*']",1
"['=', 'tt', ':']",2
"['=', 'ol', ':']",1
"[':', 'h', '+']",1
"['+', 'ox', '=']",1
"['=', 'ox', 'THEN']",1
"['THEN', 'ox', '<']",1
"['<', 'p', 'IF']",4
"['<', 'x', 'IF']",8
"['+', 'x', '=']",11
"['=', 'x', 'THEN']",15
"[':', 'bs$', ';']",1
"[';', 'p$', ',']",1
"['+', 'p$', '=']",1
"['+', 'x', 'x']",1
"['=', 'si$', ':']",1
"['=', 'bs$', ':']",1
"['+', 'j', '(']",1
"['=', 'p$', ':']",1
"['(', 'w', ':']",3
"['=', 'w4', ':']",1
"['=', 'l', ':']",6
"['=', 'w3', ':']",1
"['=', 'bl', ':']",3
"['THEN', 'em', '<=']",1
"['<=', 'dd', 'IF']",1
"[':', 'tr', '=']",4
"['=', 'w2', ':']",1
"['=', 'cd', ':']",1
"['+', 'bl', '=']",1
"['=', 'br', ':']",2
"['+', 'tl', ':']",1
"['=', 'em', ':']",1
"['=', 'rm', ':']",1
"['=', 't', ':']",12
"['-', 'l', '=']",5
"[',', 'a', 'POKE']",13
"[':', 'em', 'TO']",1
"['TO', 'sm', '=']",1
"[':', 'l', '-']",1
"[')', 'm', '(']",5
"['*', 'l', '=']",1
"['=', 'h', ':']",21
"['=', 'tc', 'THEN']",3
"[')', 'ld', '/']",1
"['/', 'q', '(']",3
"['*', 'ld', '-']",1
"['-', 'q', 'IF']",3
"['=', 'ld', 'THEN']",1
"['=', 'ld', 'IF']",1
"['(', 'x', ')']",5
"[':', 'll', '-']",1
"['-', 'u', '=']",1
"['=', 'u', ':']",8
"['=', 'bw', ':']",3
"['+', 'x', '(']",8
"['(', 'm', '=']",10
"['=', 'bc', '130']",1
"['=', 'op', 'AND']",1
"['=', 'sw', ':']",2
"['-', 'll', '-']",2
