ngram,count
"[')', '100', 'SPC(', 'SKIP', 'PRINT', ':', 'aq']",1
"['pe%', 'PRINT', 'pe$', 'SKIP', 'TO', '1', '=']",1
"['IF', ':', '=', 'SKIP', ':', ')', '37']",1
"['dm', 'IF', ':', 'SKIP', ';', ')', 'i']",1
"['INPUT', ':', ';', 'SKIP', 'i', 'PRINT', ':']",1
"['CHR$', '34', ')', 'SKIP', 'CHR$', '(', '34']",1
"['(', '34', ')', 'SKIP', 'PEEK', '(', '186']",6
"['4370', 'GOTO', ':', 'SKIP', 'PRINT', ':', '""{clr}{down}bastard! du bist ""']",1
"['4560', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}repariert.{black}""']",1
"['""{clr}{down}{down}{purple}maschinen werden""', ':', 'PRINT', 'SKIP', ':', 'GOTO', '500']",1
"['(', 'a$', '<', 'SKIP', 'OR', 'a$', '>']",1
"['OR', 'a$', '>', 'SKIP', ')', 'AND', 'a$']",1
"['""{down}gradiert!!""', 'PRINT', ':', 'SKIP', 'PRINT', ':', '""{down}sie werden zum""']",1
"['""{down}uebrig.""', 'PRINT', ':', 'SKIP', 'PRINT', ':', '""{down}es sind noch""']",1
"['""{down}ihnen helfen.""', 'PRINT', ':', 'SKIP', 'PRINT', ':', '""{down}schnelle arbeit!""']",1
"['0', ':', 'PRINT', 'SKIP', ':', 'GOTO', '1640']",1
"['""{down}rakete ausserhalb der""', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}verloren.""']",1
"['f', ':', 'PRINT', 'SKIP', ':', 'GOTO', '1950']",1
"['PRINT', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}unwirksam.""']",1
"['4500', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}verschwendet.""']",1
"['""{down}sie haben ihr haupt-""', ':', 'PRINT', 'SKIP', ':', 'GOSUB', '4500']",1
"['""{down}{down}sie haben einen teil""', ':', 'PRINT', 'SKIP', ':', 'a%', '(']",1
"['""{clr}{purple}{down}{down}hauptquartier zer-""', ':', 'PRINT', 'SKIP', ':', 'GOSUB', '4560']",1
"['""see-""', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}gute arbeit.""']",1
"['""feind-""', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}sie haben""']",1
"['""{purple}{clr}{down}{down}nicht genug leute""', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}sonars.{black}""']",1
"['""{down}einem seemonster""', ':', 'PRINT', 'SKIP', ':', 'q1', '=']",1
"['4500', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}mine gelaufen!""']",1
"['""{down}sie sind auf eine""', ':', 'PRINT', 'SKIP', ':', 'GOSUB', '4560']",1
"['""{down}sie haben ihr haupt-""', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}sie sinken.""']",1
"['""auf dem rueckweg""', 'PRINT', ':', 'SKIP', 'PRINT', ':', '""{down}ein seemonster schnuef-""']",1
"['GOSUB', ':', ':', 'SKIP', 'PRINT', ':', '""{clr}{down}{down}{purple}energieumwandler ist""']",1
"['""{down}bedienen.{black}""', 'PRINT', ':', 'SKIP', 'PRINT', ':', '""{clr}{down}{purple}nicht genug mannschaft""']",1
"['=', 'c', ':', 'SKIP', 'PRINT', ':', '""maenner sind ver-""']",1
"['""schollen.""', 'PRINT', ':', 'SKIP', 'd6', '""{down}""', 'PRINT']",1
"['2840', 'GOTO', ':', 'SKIP', 'PRINT', ':', '""{down}10 mann muessen an ""']",1
"[':', 'PRINT', ':', 'SKIP', 'd3', '""{clr}{down}es sind""', 'PRINT']",1
"['CHR$', '34', 'CHR$', 'SKIP', '""star-wars3""', ')', ')']",1
"['34', 'CHR$', '""star-wars3""', 'SKIP', ')', ')', '34']",1
"['186', ')', ')', 'SKIP', '""{home}""', ';', ';']",1
"['sh', ';', ';', 'SKIP', '""{home}{right}{right}{right}{right}{right}{right}{right}{rvs_on}{white}ships""', 'PRINT', 'PRINT']",1
"[';', ';', '""{home}{right}{right}{right}{right}{right}{right}{right}{rvs_on}{white}ships""', 'SKIP', 'PRINT', 'PRINT', 'POKE']",1
"[',', ',', ',', 'SKIP', '""{down}{down}{right}{right}{right}{right}{blue}e{right}{rvs_on}by{rvs_off}{right}mno{rvs_on}-soft""', 'PRINT', 'PRINT']",1
"['15', ';', ';', 'SKIP', '""{home}{right}{right}{right}{right}{right}{right}{right}{rvs_on}{black}ships""', 'PRINT', 'PRINT']",1
"[';', ';', '""{home}{right}{right}{right}{right}{right}{right}{right}{rvs_on}{black}ships""', 'SKIP', 'PRINT', 'PRINT', ':']",1
"['sc', ',', ',', 'SKIP', '""{down}{right}{right}{rvs_on}{yellow}your score:""', 'PRINT', 'PRINT']",1
"['ti$', ',', ',', 'SKIP', '""{down}{right}{right}{rvs_on}{red}your time:""', 'PRINT', 'PRINT']",1
"['GOSUB', ':', ':', 'SKIP', '""{home}{down}{down}{down}{down}{rvs_on}{yellow} wer nicht hoeren      will, muss fuehlen!""', 'PRINT', 'PRINT']",1
"['END', ':', ':', 'SKIP', '""{black}{home}""', 'PRINT', 'PRINT']",1
"['a$', ',', ',', 'SKIP', '""{red}{down}{right}{right}{right}{right}{right}{right}""', 'PRINT', 'PRINT']",1
"[',', ',', '""{red}{down}{right}{right}{right}{right}{right}{right}""', 'SKIP', 'PRINT', 'PRINT', ':']",1
"['DIM', ':', ':', 'SKIP', '""000000""', '=', '=']",1
"[':', ':', '""000000""', 'SKIP', '=', '=', 'ti$']",1
"['5000', ':', 'PRINT', 'SKIP', ':', 'GOTO', '1000']",1
"['k', '92', '=', 'SKIP', ':', 'FOR', 'k']",1
"['s$', ':', 'PRINT', 'SKIP', 'RIGHT$', '(', 'x$']",1
"['CLR', ':', 'GOSUB', 'SKIP', '30000', 'GOSUB', '5000']",1
"['22', 'i', ')', 'SKIP', 'TAB(', 'i', '-']",1
"['1', ':', 'PRINT', 'SKIP', 'RIGHT$', '(', 'x$']",1
"[':', 'PRINT', 'RIGHT$', 'SKIP', '22', 'CHR$', ')']",1
"[')', '15', 'TAB(', 'SKIP', ';', 'a1$', 'PRINT']",1
"[')', '10', 'TAB(', 'SKIP', 'PRINT', 'THEN', '1']",1
"['25', ':', 'PRINT', 'SKIP', ';', ':', 'FOR']",1
"['NEXT', ':', 'PRINT', 'SKIP', ':', 'FOR', 's']",1
"['PRINT', ':', 'PRINT', 'SKIP', ';', ':', 'POKE']",1
"['p', 'THEN', 'PRINT', 'SKIP', 'INT', '(', 'p']",1
"['NEXT', ':', 'PRINT', 'SKIP', 'i', ':', 'i']",1
"['(', '34', ')', 'SKIP', 'PEEK', '(', '""pingi2""']",1
"['IF', 't$', '<>', 'SKIP', 'OR', '(', 't$']",1
"['34', '(', 'CHR$', 'SKIP', 'PRINT', ':', '""{clr}{down}{down}poke44,30:poke7680,0""']",1
"['=', 'j3', 'THEN', 'SKIP', '=', 'a$', 'IF']",1
"['=', 'bw', 'THEN', 'SKIP', '=', 'a$', 'IF']",1
"['=', 'bw', 'THEN', 'SKIP', '=', 'a$', 'GOTO']",1
"['19', 'GOTO', ':', 'SKIP', '=', 'a$', 'THEN']",1
"['21', 'GOTO', ':', 'SKIP', '=', 'a$', 'THEN']",1
"['""#:""', '17', 'TAB(', 'SKIP', 'PRINT', ':', 'sc']",1
"['TAB(', '17', ')', 'SKIP', ':', 'p2', '=']",2
"['TAB(', '16', ')', 'SKIP', ':', 'p2', '=']",2
"['8', 'THEN', 'PRINT', 'SKIP', 'TAB(', '18', ')']",1
"['1', 'THEN', 'PRINT', 'SKIP', 'TAB(', '16', ')']",1
"['TAB(', '15', ')', 'SKIP', ':', 'p2', 'THEN']",1
"['NEXT', ':', 'PRINT', 'SKIP', 'TAB(', '1', '+']",1
"['10', 'THEN', 'PRINT', 'SKIP', 'TAB(', '15', ')']",1
"['TAB(', '19', ')', 'SKIP', ':', 'p1', '=']",3
"['TAB(', '14', ')', 'SKIP', ':', 'p1', '=']",2
"['""{home}{down}{down}{down}{down}{down}{down}{down}{down}""', '14', ')', 'SKIP', ':', 'p1', '=']",1
"['(', '34', ')', 'SKIP', 'CHR$', '(', '34']",2
"[':', 'a', ';', 'SKIP', 'PRINT', ':', 'POKE']",1
"['11', 'GOTO', ':', 'SKIP', 'PRINT', 'THEN', '26']",1
"['st', '$', '=', 'SKIP', 'THEN', 'GOSUB', 'IF']",1
"['st', '$', '=', 'SKIP', 'THEN', 'GOSUB', '26']",1
"[',', '8', ':', 'SKIP', 'POKE', ',', '15']",1
"['NEXT', ':', 'PRINT', 'SKIP', 'a$', ':', 'FOR']",1
"['=', 'b$', ':', 'SKIP', '=', 'a$', '""taste druecken""']",1
"[',', '2', ')', 'SKIP', ':', 'IF', ')']",1
"['PRINT', 'a$', ',', 'SKIP', 'MID$', '(', 'ti$']",1
"['t', 'FOR', ':', 'SKIP', '1000', 'PRINT', '240']",1
"['1', ':', 'PRINT', 'SKIP', 'a$', '(', 't']",1
"[':', '5', 'PRINT', 'SKIP', ':', 'DIM', 'a$']",1
"[')', ':', 'PRINT', 'SKIP', 'a$', '(', 't']",1
"['240', ':', 'PRINT', 'SKIP', ':', 'POKE', '36877']",1
"['90', ':', 'PRINT', 'SKIP', ':', 'POKE', '36869']",1
"['CLR', ':', 'PRINT', 'SKIP', 'CHR$', '(', '34']",1
"['CHR$', '34', ')', 'SKIP', 'PEEK', '(', '186']",1
"[':', 'PRINT', '""{red}{down}{right}{right}{right}{right}{right}{right}""', 'SKIP', ',', ',', 'a$']",1
"[';', 'sc', ';', 'SKIP', ';', 'am', ';']",1
"[';', 'ti$', ';', 'SKIP', ';', 'sg', ';']",1
"['255', ':', 'PRINT', 'SKIP', ':', 'x', '=']",1
"['34', '(', 'CHR$', 'SKIP', 'PRINT', ':', '240']",1
"['SPC(', '52', ')', 'SKIP', ':', 'PRINT', 'SPC(']",1
"['SPC(', '7', ')', 'SKIP', ':', 'SYS', '7586']",1
"['PRINT', '5', ')', 'SKIP', 'SPC(', '7', ')']",1
"['SPC(', '7', ')', 'SKIP', ':', 'SPC(', 'SPC(']",1
"['""{right}l{right}{right}fggh""', 'PRINT', ':', 'SKIP', ')', '9', 'SPC(']",1
"[')', '9', 'SPC(', 'SKIP', 'PRINT', ':', '""c{right}{right}{right}k""']",1
"['""{right}{right}{right}{right}q""', 'PRINT', ':', 'SKIP', ')', '14', 'SPC(']",1
"[')', '12', 'SPC(', 'SKIP', 'PRINT', ':', '""c{right}{right}{right}kq""']",1
"['""{right}l""', 'PRINT', ':', 'SKIP', ')', '6', 'SPC(']",1
"[')', '7', 'SPC(', 'SKIP', 'PRINT', ':', '""{down}q{right}mmmmmmmm""']",1
"['240', ':', 'PRINT', 'SKIP', ':', 'PRINT', '""load""']",1
"[')', '12', 'SPC(', 'SKIP', 'PRINT', ':', '""c{right}{right}{right}kdd""']",1
"['i', 'FOR', ':', 'SKIP', ')', '226', 'SPC(']",1
"[')', '226', 'SPC(', 'SKIP', 'PRINT', ':', '21']",1
"['=', 'x', 'THEN', 'SKIP', '=', 'a$', 'IF']",1
"['409', 'GOTO', ':', 'SKIP', '=', 'a$', ':']",2
"['=', 'y', 'THEN', 'SKIP', '=', 'a$', 'IF']",2
"['7604', 'SYS', 'THEN', 'SKIP', '<>', 'a$', 'IF']",1
"['(', 'AND', ')', 'SKIP', '>', 'a$', 'OR']",1
"['>', 'a$', 'OR', 'SKIP', '<', 'a$', '(']",1
"['>', 'a$', 'OR', 'SKIP', '<', 'a$', 'IF']",1
"['{CTRL-U}', '{down}', '{rvs_on}', 'SKIP', '{CTRL-U}', '{down}', '{CTRL-U}']",1
"['{down}', '{rvs_on}', '{CTRL-U}', 'SKIP', '{down}', '{CTRL-U}', '{CTRL-U}']",1
"['{rvs_on}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{CTRL-K}']",1
"['{CTRL-U}', '{CTRL-U}', '{down}', 'SKIP', '{CTRL-U}', '{CTRL-K}', '{CTRL-U}']",2
"['{CTRL-U}', '{down}', '{CTRL-U}', 'SKIP', '{CTRL-K}', '{CTRL-U}', '{CTRL-U}']",2
"['{down}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{CTRL-U}']",15
"['{CTRL-U}', '{CTRL-U}', '{CTRL-K}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{CTRL-U}']",17
"['{CTRL-U}', '{CTRL-K}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{run_stop}']",1
"['{CTRL-K}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{run_stop}', '{CTRL-U}']",2
"['{CTRL-U}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{run_stop}', '{CTRL-U}', '{CTRL-U}']",43
"['{CTRL-U}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{CTRL-U}']",827
"['{CTRL-U}', '{CTRL-U}', '{run_stop}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{CTRL-O}']",1
"['{CTRL-U}', '{run_stop}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{CTRL-O}', '{CTRL-U}']",1
"['{run_stop}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-O}', '{CTRL-U}', '{CTRL-U}']",1
"['{CTRL-U}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{swlc}']",5
"['{CTRL-U}', '{CTRL-U}', '{CTRL-O}', 'SKIP', '{CTRL-U}', '{swlc}', '{CTRL-U}']",1
"['{CTRL-U}', '{CTRL-O}', '{CTRL-U}', 'SKIP', '{swlc}', '{CTRL-U}', '{swlc}']",1
"['{CTRL-O}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{swlc}', '{CTRL-U}']",1
"['{CTRL-U}', '{CTRL-U}', '{swlc}', 'SKIP', '{swlc}', '{CTRL-U}', '{CTRL-U}']",1
"['{CTRL-U}', '{swlc}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{CTRL-U}']",4
"['{swlc}', '{CTRL-U}', '{swlc}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{CTRL-U}']",1
"['{swlc}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{CTRL-U}']",9
"['{CTRL-U}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{CTRL-U}', '{ensh}']",3
"['{CTRL-U}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{CTRL-U}', '{ensh}', '{$0a}']",1
"['{CTRL-U}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{ensh}', '{$0a}', '{CTRL-U}']",1
"['{CTRL-U}', '{CTRL-U}', '{CTRL-U}', 'SKIP', '{$0a}', '{CTRL-U}', '{CTRL-U}']",1
