ngram,count
"['2', ',', '2', ',', '1', ',', '3']",7
"['2', ',', '1', ',', '3', ',', '3']",4
"['1', ',', '3', ',', '3', ',', '3']",3
"['3', ',', '3', ',', '3', ',', '1']",7
"['3', ',', '3', ',', '1', ',', '1']",14
"['3', ',', '1', ',', '1', ',', '1']",8
"['1', ',', '1', ',', '1', ',', '2']",9
"['1', ',', '3', ',', '3', ',', '1']",9
"['3', ',', '3', ',', '1', ',', ',']",1
"['3', ',', '1', ',', ',', '1', ',']",1
"[',', '1', ',', ',', '1', ',', '3']",1
"[',', ',', '1', ',', '3', ',', '1']",1
"['1', ',', '1', ',', '2', ',', ',']",4
"['1', ',', '2', ',', ',', '2', ',']",2
"[',', '2', ',', ',', '2', ',', '1']",2
"['1', ',', '1', ',', '3', ',', '1']",8
"['3', ',', '1', ',', '1', '1', '2']",1
"['1', '1', '2', ',', '2', ',', '1']",1
"['2', ',', '1', ',', '1', ',', '1']",5
"['sbc', ',', 'cpx', ',', '?', '?', '?']",3
"['?', '?', '?', ',', 'nop', ',', 'sbc']",2
"['?', ',', 'nop', ',', 'sbc', ',', 'inx']",2
"['nop', ',', 'sbc', ',', 'inx', ',', '?']",2
"['sbc', ',', 'inx', ',', '?', '?', '?']",2
"['?', '?', '?', ',', 'inc', ',', '?']",1
"['?', '?', '?', ',', 'sbc', ',', 'beq']",2
"['?', '?', '?', ',', '?', '?', '?']",37
"['?', '?', '?', ',', ',', 'cld', ',']",1
"['?', '?', ',', ',', 'cld', ',', '?']",1
"[',', ',', 'cld', ',', '?', '?', '?']",1
"['?', '?', '?', ',', 'dec', ',', 'cmp']",1
"['1', ',', '2', ',', '2', '2', '1']",1
"['2', '2', '1', ',', '3', ',', '3']",1
"['3', ',', '1', ',', '1', ',', ',']",3
"['1', ',', '1', ',', ',', ',', ',']",1
"['1', ',', '3', ',', '3', ',', '2']",1
"['3', ',', '3', ',', '2', '1', '1']",1
"['2', '1', '1', ',', '1', ',', '3']",1
"['?', '?', '?', ',', '?', '?', 'inc']",1
"['?', '?', '?', ',', 'sbc', ',', 'sed']",2
"['?', ',', 'sbc', ',', 'sed', ',', '?']",1
"['0', ',', '0', ',', ',', '3', ',']",2
"[',', '0', ',', ',', '3', ',', '3']",2
"[',', ',', '3', ',', '3', ',', '0']",3
"['3', ',', '3', ',', '0', ',', '0']",5
"['2', ',', '0', ',', '0', ',', '4']",3
"['0', ',', '0', ',', '4', ',', '4']",7
"['1', ',', '1', ',', ',', ',', '2']",3
"[',', '1', ',', ',', ',', '2', ',']",4
"['1', ',', ',', ',', '2', ',', '2']",4
"[',', ',', '2', ',', '2', ',', '1']",5
"['3', '3', '1', ',', '2', ',', '2']",2
"['2', ',', '1', ',', '3', ',', '1']",4
"['0', ',', '3', ',', '3', ',', '3']",6
"['3', ',', '3', ',', '3', '0', ',']",1
"[',', '3', '0', ',', '1', ',', '2']",1
"['0', ',', '0', ',', ',', '7', ',']",1
"[',', '0', ',', ',', '7', ',', '7']",1
"[',', ',', '7', ',', '7', ',', '0']",1
"['7', ',', '7', ',', '0', ',', '0']",4
"['8', ',', '0', ',', '0', ',', '5']",4
"['0', ',', '0', ',', '5', ',', '5']",6
"['0', ',', '8', ',', '0', ',', '0']",9
"['8', ',', '0', ',', '0', ',', '0']",7
"['0', ',', '0', ',', '0', '5', '5']",1
"['0', '5', '5', ',', '0', ',', '0']",1
"['5', ',', '0', ',', '0', ',', '0']",4
"['0', ',', '0', ',', '0', ',', '11']",3
"['0', ',', '0', ',', '11', ',', '9']",7
"['0', ',', '11', ',', '9', ',', ',']",1
"['4', ',', '4', ',', '4', ',', '0']",6
"['1', ',', '2', ',', ',', '3', ',']",1
"[',', '2', ',', ',', '3', ',', '3']",1
"[',', ',', '3', ',', '3', ',', '3']",4
"['1', ',', '1', ',', '1', ',', '1']",13
"['1', ',', '1', ',', '1', ',', ',']",4
"['1', ',', '2', ',', '2', ',', '2']",5
"['2', ',', '2', ',', '2', ',', '1']",7
"['2', ',', '2', ',', '1', ',', ',']",4
"['2', ',', '1', ',', ',', ',', '2']",1
"['2', ',', '1', ',', '1', '3', '3']",1
"['1', '3', '3', ',', '3', ',', '1']",1
"['1', ',', '2', ',', ',', ',', ',']",1
"[',', '2', ',', ',', ',', ',', '1']",1
"['2', ',', ',', ',', ',', '1', ',']",1
"[',', ',', ',', ',', '1', ',', '3']",1
"[',', ',', '1', ',', '3', ',', '3']",1
"['3', ',', '1', ',', '1', '1', ',']",1
"[',', '1', '1', ',', ',', '3', ',']",1
"['1', '1', ',', ',', '3', ',', '1']",1
"[',', ',', '3', ',', '1', ',', '1']",1
"['1', ',', '1', ',', '2', '2', '1']",1
"['1', ',', '1', ',', '1', '2', '2']",1
"['1', '2', '2', ',', '2', ',', '1']",2
"['STEP', '-', '1', ':', 'a', '=', 'INT']",2
"['a', '=', 'INT', '(', 'dz', '/', '16']",2
"['16', '^', 'j', ')', ':', 'dz', '=']",1
"['^', 'j', ')', ':', 'dz', '=', 'dz']",2
"['16', '^', 'j', ':', 'a', '=', 'a']",1
"['a', '+', '48', ':', 'IF', 'a', '57']",1
"['dz', '=', 'pc', ':', 'PRINT', '""{cyan}""', ';']",1
"[':', 'PRINT', '""{cyan}""', ';', ':', 'GOSUB', '900']",2
